model,fold,rmse,r2,n_test
main_effects,tBuBrettPhos,15.995493264246518,0.6894531958623251,989
main_effects,tBuXPhos,18.48717315106514,0.5681365026937455,986
main_effects,XPhos,30.392910648127103,-2.007281705217308,990
main_effects,AdBrettPhos,18.758035991700275,0.5630248565039606,990
onehot_xgb,tBuBrettPhos,10.243742330274904,0.8726352987628495,989
onehot_xgb,tBuXPhos,13.778668857487602,0.7601056577842354,986
onehot_xgb,XPhos,25.060613773253753,-1.044621542740062,990
onehot_xgb,AdBrettPhos,10.8457628928993,0.8539161468006484,990
ligandfp_xgb,tBuBrettPhos,8.150321187044472,0.9193728632831328,989
ligandfp_xgb,tBuXPhos,17.5547686227824,0.6106002223981681,986
ligandfp_xgb,XPhos,23.86650198677306,-0.8544155807608853,990
ligandfp_xgb,AdBrettPhos,10.005209440140368,0.8756818975976313,990
multifp_xgb,tBuBrettPhos,7.260800020007037,0.9360116752115283,989
multifp_xgb,tBuXPhos,17.94141821044505,0.5932580007443162,986
multifp_xgb,XPhos,24.633380406019548,-0.9755023599881014,990
multifp_xgb,AdBrettPhos,8.731342717655233,0.905323090175645,990
residual_xgb,tBuBrettPhos,8.907189147738736,0.9037029153257143,989
residual_xgb,tBuXPhos,16.33455908009608,0.6628522142193773,986
residual_xgb,XPhos,24.657155228471716,-0.9793174988129407,990
residual_xgb,AdBrettPhos,8.469245365326422,0.910921799669183,990
