model,fold,rmse,r2,n_test
multifp_xgb,CC1=NOC(C(OCC)=O)=C1,10.293262350525188,0.8853407938062597,180
multifp_xgb,CC1=NOC(C2=CC=CC=C2)=C1,9.200582757851901,0.8781771345862064,180
multifp_xgb,CC1=NOC=C1,18.765583571153424,0.6464920034570444,178
multifp_xgb,CCOC(C1=CON=C1)=O,19.71539375715651,-1.6710858081837197,180
multifp_xgb,CCOC(C1=NOC=C1)=O,21.265353857806453,0.45860171722254583,180
multifp_xgb,COC1=NOC(C(OCC)=O)=C1,12.861071437806618,0.7483371918133623,180
multifp_xgb,FC(C=CC=C1F)=C1C2=CC=NO2,8.135949503199992,0.8669040135198425,180
multifp_xgb,O=C(OC)C1=CC=NO1,9.071909321616094,0.8007791075724495,180
multifp_xgb,O=C(OC)C1=NOC(C2=CC=CO2)=C1,6.611347257437268,0.9392778644891736,180
multifp_xgb,O=C(OC)C1=NOC(C2=CC=CS2)=C1,5.3711809120331875,0.9570529498817101,180
